,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
8565,ProRadis,3844763.0,Seed,"Health Diagnostics, Information Technology, Medical, Software",2014-06-01,,Wayra,Seed,226514.0,1617960.0,Yes,ProRadis is an IT company that develops software specializing in the management and operation of clinics and radiology laboratories.,http://www.proradis.com.br/,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2014,61.0
8566,ProRadis,3844763.0,Seed,"Health Diagnostics, Information Technology, Medical, Software",2015-04-01,Wayra,Wayra,Seed,1573856.0,,Yes,ProRadis is an IT company that develops software specializing in the management and operation of clinics and radiology laboratories.,http://www.proradis.com.br/,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2015,304.0
8567,ProRadis,3844763.0,Series A,"Health Diagnostics, Information Technology, Medical, Software",2015-06-03,,Performa Investimentos,Early Stage Venture,1911131.0,,Yes,ProRadis is an IT company that develops software specializing in the management and operation of clinics and radiology laboratories.,http://www.proradis.com.br/,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2015,63.0
8568,ProRadis,3844763.0,Series A,"Health Diagnostics, Information Technology, Medical, Software",2015-06-03,,Vox Capital,Early Stage Venture,1911131.0,,Yes,ProRadis is an IT company that develops software specializing in the management and operation of clinics and radiology laboratories.,http://www.proradis.com.br/,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2015,63.0
8569,Produttivo,258558.0,Venture - Series Unknown,"Mobile Apps, Productivity Tools, SaaS, Software, Web Apps",2019-03-08,,Smart Money Ventures,,258558.0,,Yes,Produttivo is a solution for companies to increase productivity and reduce the cost of field and office activities.,http://www.produttivo.com.br,,,1,"Curitiba, Parana, Brazil, South America",2019,
8570,Proesc,1529169.0,Seed,EdTech,2023-03-16,SQUARE Knowledge Ventures,SQUARE Knowledge Ventures,Seed,1529168.0,,Yes,Proesc is an online school management system and specialist in the financial and pedagogical management of schools and courses.,https://www.proesc.com/,$1M to $10M,Seed,1,"Macapá, Sao Paulo, Brazil, South America",2023,
8571,Profarma,,Post-IPO Equity,Pharmaceutical,2014-03-24,,Cencora,,,,Yes,Profarma is a pharmaceutical wholesaler in Brazil.,https://www.profarma.com.br,$1B to $10B,IPO,1,"Barra Da Tijuca, Rio de Janeiro, Brazil, South America",2014,
8572,Professores de Plantão,301650.0,Seed,"Education, Internet, Professional Networking, Search Engine, Training",2012-05-01,,Wayra,Seed,50753.0,,Yes,Professores de Plantão is a reference platform in the agile search for private teachers throughout Brazil.,http://www.professoresdeplantao.com.br/,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2012,
8573,Professores de Plantão,301650.0,Seed,"Education, Internet, Professional Networking, Search Engine, Training",2013-07-01,,Wayra,Seed,128846.0,515385.0,Yes,Professores de Plantão is a reference platform in the agile search for private teachers throughout Brazil.,http://www.professoresdeplantao.com.br/,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2013,426.0
8574,Professores de Plantão,301650.0,Grant,"Education, Internet, Professional Networking, Search Engine, Training",2014-05-01,,Wayra,,31865.0,,No,Professores de Plantão is a reference platform in the agile search for private teachers throughout Brazil.,http://www.professoresdeplantao.com.br/,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2014,304.0
8575,Professores de Plantão,301650.0,Grant,"Education, Internet, Professional Networking, Search Engine, Training",2014-07-01,,Wayra,,90185.0,,No,Professores de Plantão is a reference platform in the agile search for private teachers throughout Brazil.,http://www.professoresdeplantao.com.br/,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2014,61.0
8577,Proffer,655009.0,Pre-Seed,"Artificial Intelligence (AI), Information Technology, Pharmaceutical, Retail Technology",2021-09-06,,WOW Aceleradora,Seed,,,Yes,"Proffer develops and operates Saas revenue management tool for retail, distribution and industry.",https://proffer.com.br,,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2021,432.0
8578,Proffer,655009.0,Seed,"Artificial Intelligence (AI), Information Technology, Pharmaceutical, Retail Technology",2024-03-05,Criatec 4,Criatec 4,Seed,605009.0,,Yes,"Proffer develops and operates Saas revenue management tool for retail, distribution and industry.",https://proffer.com.br,,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,911.0
8579,Profitor Cryptoassests,65153.0,Pre-Seed,"Cryptocurrency, Trading Platform",2022-08-03,Private Investors,Private Investors,Seed,18924.0,378486.0,Yes,Profitor is a fintech that wants to democratize access to the universe of investments in crypto assets.,https://www.profitor.com.br,,Seed,2,"São José do Rio Prêto, Sao Paulo, Brazil, South America",2022,
8580,Profitor Cryptoassests,65153.0,Pre-Seed,"Cryptocurrency, Trading Platform",2023-03-07,Bhavik Bajaj,Bhavik Bajaj,Seed,46229.0,963112.0,Yes,Profitor is a fintech that wants to democratize access to the universe of investments in crypto assets.,https://www.profitor.com.br,,Seed,2,"São José do Rio Prêto, Sao Paulo, Brazil, South America",2023,216.0
8581,Profitor Cryptoassests,65153.0,Pre-Seed,"Cryptocurrency, Trading Platform",2023-03-07,Bhavik Bajaj,Private Investors,Seed,46229.0,963112.0,Yes,Profitor is a fintech that wants to democratize access to the universe of investments in crypto assets.,https://www.profitor.com.br,,Seed,2,"São José do Rio Prêto, Sao Paulo, Brazil, South America",2023,216.0
8582,Progenes,73042.0,Pre-Seed,"Biotechnology, Fitness, Genetics",2018-04-14,WOW Aceleradora,Start-Up Brasil,Seed,73041.0,167996.0,Yes,Progenes is a biotechnology startup that helps users find optimal nutrition and training according to their genetics.,https://www.progenes.com.br/,,Seed,1,"Caxias Do Sul, Rio Grande do Sul, Brazil, South America",2018,
8583,Progenes,73042.0,Pre-Seed,"Biotechnology, Fitness, Genetics",2018-04-14,WOW Aceleradora,WOW Aceleradora,Seed,73041.0,167996.0,Yes,Progenes is a biotechnology startup that helps users find optimal nutrition and training according to their genetics.,https://www.progenes.com.br/,,Seed,1,"Caxias Do Sul, Rio Grande do Sul, Brazil, South America",2018,
8584,PrograMaria,,Non-equity Assistance,"E-Learning, Education, Social Network, Training, Women's",2019-04-01,Google for Startups,Google for Startups,,,,No,PrograMaria offers opportunities in the technology field for women.,https://www.programaria.org,,,1,"São Paulo, Sao Paulo, Brazil, South America",2019,
8586,Prol Educa,41461.0,Non-equity Assistance,"Education, Payments, Social Assistance",2020-09-09,Google for Startups,Google for Startups,,,,No,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2020,
8587,Prol Educa,41461.0,Seed,"Education, Payments, Social Assistance",2022-08-01,Anjos do Brasil,Anjos do Brasil,Seed,41460.0,,Yes,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2022,691.0
8588,Prol Educa,41461.0,Seed,"Education, Payments, Social Assistance",2022-08-01,Anjos do Brasil,Gvangels,Seed,41460.0,,Yes,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2022,691.0
8589,Prol Educa,41461.0,Seed,"Education, Payments, Social Assistance",2022-08-01,Anjos do Brasil,Investe Favela,Seed,41460.0,,Yes,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2022,691.0
8590,Prol Educa,41461.0,Venture - Series Unknown,"Education, Payments, Social Assistance",2022-12-12,Gvangels,Anjos do Brasil,,,,Yes,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2022,133.0
8591,Prol Educa,41461.0,Venture - Series Unknown,"Education, Payments, Social Assistance",2022-12-12,Gvangels,Gvangels,,,,Yes,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2022,133.0
8592,Prol Educa,41461.0,Venture - Series Unknown,"Education, Payments, Social Assistance",2022-12-12,Gvangels,Investe Favela,,,,Yes,Prol Educa is an educational inclusion program that provides student with access to partial scholarships.,https://www.proleduca.com.br,,,3,"Jaboatão, Pernambuco, Brazil, South America",2022,133.0
8593,Prolog,1101476.0,Seed,"Fleet Management, Logistics",2024-02-08,Parceiro Ventures,Parceiro Ventures,Seed,1101475.0,,Yes,Prolog is an IT company that develops tire and fleet management solutions to boost the productivity and efficiency of the logistics sector.,https://www.prologapp.com,,Seed,1,"Palhoça, Santa Catarina, Brazil, South America",2024,
8594,Promip,6206319.0,Series A,"Agriculture, Biotechnology, Farming",2014-08-04,SP Ventures,SP Ventures,Early Stage Venture,1770318.0,,Yes,Promip provides biological products and research services for integrated pest management programs.,http://www.promip.agr.br,$1M to $10M,,2,"Limeira, Santa Catarina, Brazil, South America",2014,
8595,Promip,6206319.0,Venture - Series Unknown,"Agriculture, Biotechnology, Farming",2017-06-13,,SP Ventures,,4436000.0,,Yes,Promip provides biological products and research services for integrated pest management programs.,http://www.promip.agr.br,$1M to $10M,,2,"Limeira, Santa Catarina, Brazil, South America",2017,1044.0
8596,PromoContent,79789.0,Seed,"Artificial Intelligence (AI), Content Marketing, Machine Learning",2016-03-05,Leonardo Sanchez,Leonardo Sanchez,Seed,79789.0,797891.0,Yes,PromoContent changes how using artificial intelligence and machine learning to add data to content creation changes the market.,https://promocontent.io,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2016,
